Year,Species,Wing,Weight,Tail,Hallux,Coopers?,Red-tailed?,Sharp-shinned?
1998,RT,373.0,919.0,233,28.5,0,1,0
2001,RT,363.0,865.0,210,27.3,0,1,0
1999,RT,381.0,1080.0,223,32.3,0,1,0
2000,SS,196.0,180.0,150,13.9,0,0,1
1994,RT,383.0,965.0,221,31.8,0,1,0
2002,RT,366.0,1115.0,215,21.0,0,1,0
2002,RT,375.0,1110.0,215,31.3,0,1,0
2000,RT,425.0,1120.0,222,33.3,0,1,0
1994,SS,202.0,195.0,158,14.8,0,0,1
2002,RT,350.0,960.0,218,29.9,0,1,0
2003,RT,360.0,790.0,211,27.6,0,1,0
2001,SS,158.0,95.0,129,11.1,0,0,1
1997,SS,164.0,98.0,136,11.4,0,0,1
1999,RT,351.0,775.0,200,29.3,0,1,0
2003,RT,402.0,1350.0,219,31.0,0,1,0
2000,RT,410.0,1120.0,229,33.6,0,1,0
1997,CH,265.0,464.0,225,24.1,1,0,0
2003,SS,192.0,175.0,160,14.2,0,0,1
1994,RT,403.0,980.0,234,29.7,0,1,0
1992,RT,385.0,1320.0,207,30.1,0,1,0
1994,RT,392.0,1140.0,214,29.8,0,1,0
2000,SS,165.0,95.0,127,11.4,0,0,1
2000,RT,371.0,990.0,217,29.7,0,1,0
2001,RT,363.0,1005.0,222,31.6,0,1,0
1993,RT,387.0,1160.0,209,31.0,0,1,0
1999,RT,390.0,1050.0,236,29.0,0,1,0
1994,RT,373.0,980.0,211,32.1,0,1,0
1994,RT,389.0,975.0,232,30.3,0,1,0
1996,CH,225.0,350.0,215,26.0,1,0,0
2002,CH,253.0,525.0,213,23.5,1,0,0
2003,SS,200.0,185.0,158,15.2,0,0,1
1994,RT,380.0,960.0,220,30.1,0,1,0
1998,CH,260.0,569.0,227,24.0,1,0,0
2001,SS,167.0,115.0,131,11.4,0,0,1
1998,RT,381.0,1399.0,288,31.3,0,1,0
1994,SS,198.0,188.0,150,143.0,0,0,1
2003,RT,384.0,1010.0,230,31.1,0,1,0
2002,RT,367.0,1045.0,215,30.5,0,1,0
2003,RT,400.0,1285.0,230,33.5,0,1,0
1994,RT,377.0,1055.0,200,29.1,0,1,0
1999,RT,382.0,1040.0,210,30.8,0,1,0
1994,RT,398.0,1195.0,230,29.8,0,1,0
1994,SS,209.0,158.0,160,14.4,0,0,1
1997,RT,386.0,1059.0,214,30.5,0,1,0
2002,SS,155.0,100.0,129,12.0,0,0,1
1994,RT,390.0,1060.0,205,29.0,0,1,0
1994,RT,394.0,1075.0,211,29.7,0,1,0
2003,RT,379.0,945.0,224,31.3,0,1,0
1993,RT,398.0,1110.0,225,30.9,0,1,0
1999,RT,398.0,1310.0,211,35.2,0,1,0
2002,RT,370.0,920.0,226,32.0,0,1,0
1997,CH,213.0,339.0,184,13.8,1,0,0
1994,RT,406.0,1350.0,235,32.0,0,1,0
2002,RT,397.0,1100.0,219,28.8,0,1,0
1994,RT,406.0,1275.0,238,33.7,0,1,0
1999,CH,268.0,590.0,215,19.9,1,0,0
2001,SS,160.0,95.0,126,10.8,0,0,1
2000,SS,195.0,200.0,158,13.4,0,0,1
1994,RT,381.0,1010.0,210,31.7,0,1,0
1999,RT,378.0,905.0,215,32.3,0,1,0
2002,SS,198.0,185.0,161,15.1,0,0,1
2001,CH,227.0,155.0,192,21.0,1,0,0
2001,SS,165.0,105.0,140,11.2,0,0,1
2002,SS,193.0,190.0,151,15.2,0,0,1
1998,RT,480.0,1598.0,239,35.4,0,1,0
1992,RT,416.0,1500.0,205,30.8,0,1,0
2003,SS,201.0,188.0,162,14.9,0,0,1
2000,RT,379.0,975.0,219,29.1,0,1,0
2000,RT,371.0,945.0,222,30.2,0,1,0
2001,RT,401.0,965.0,235,29.1,0,1,0
1994,RT,385.0,1045.0,229,27.5,0,1,0
1999,RT,390.0,1460.0,221,35.6,0,1,0
2001,SS,172.0,120.0,132,11.8,0,0,1
1997,SS,160.0,92.0,132,11.0,0,0,1
1997,RT,379.0,999.0,220,32.0,0,1,0
2001,SS,171.0,95.0,138,11.7,0,0,1
1994,RT,381.0,940.0,220,34.2,0,1,0
1998,RT,397.0,1439.0,216,31.4,0,1,0
1994,RT,380.0,810.0,229,28.7,0,1,0
2000,RT,392.0,1220.0,234,34.1,0,1,0
1994,SS,177.0,101.0,140,12.1,0,0,1
1994,RT,363.0,1090.0,202,28.8,0,1,0
1992,RT,392.0,1330.0,213,30.3,0,1,0
2001,RT,376.0,1055.0,222,32.2,0,1,0
1997,SS,193.0,181.0,150,11.5,0,0,1
1993,SS,202.0,134.0,158,13.7,0,0,1
2000,SS,166.0,120.0,133,11.7,0,0,1
2002,RT,362.0,950.0,212,30.7,0,1,0
1997,SS,156.0,94.0,125,11.4,0,0,1
2002,SS,166.0,110.0,139,11.9,0,0,1
1993,RT,394.0,1270.0,245,31.6,0,1,0
2003,SS,159.0,95.0,125,10.4,0,0,1
2003,RT,367.0,970.0,215,30.5,0,1,0
2001,RT,372.0,2030.0,196,30.2,0,1,0
1999,RT,370.0,1165.0,221,31.5,0,1,0
2002,SS,166.0,105.0,131,11.4,0,0,1
2001,SS,194.0,165.0,158,14.4,0,0,1
1992,RT,427.0,1490.0,246,32.4,0,1,0
2001,SS,169.0,105.0,136,11.8,0,0,1
1995,RT,384.0,940.0,220,29.8,0,1,0
2003,RT,376.0,860.0,220,30.0,0,1,0
2002,RT,395.0,1155.0,233,34.4,0,1,0
1997,CH,268.0,469.0,227,24.9,1,0,0
2001,RT,392.0,1085.0,210,34.6,0,1,0
1997,SS,199.0,196.0,158,15.2,0,0,1
1995,RT,396.0,1300.0,214,30.5,0,1,0
2002,SS,168.0,105.0,134,11.6,0,0,1
1995,RT,390.0,900.0,225,28.6,0,1,0
1993,CH,240.0,340.0,192,19.3,1,0,0
2000,RT,383.0,1055.0,208,32.7,0,1,0
2003,SS,143.0,170.0,159,13.9,0,0,1
2003,SS,160.0,95.0,135,11.2,0,0,1
1996,RT,412.0,1330.0,218,32.2,0,1,0
1995,CH,273.0,530.0,213,24.7,1,0,0
1994,SS,197.0,211.0,150,13.9,0,0,1
1996,RT,380.0,950.0,240,29.0,0,1,0
2002,RT,376.0,1180.0,214,30.7,0,1,0
2003,RT,366.0,805.0,217,25.7,0,1,0
2000,RT,397.0,1210.0,224,34.0,0,1,0
1997,CH,194.0,163.0,158,20.0,1,0,0
2000,RT,381.0,920.0,223,29.6,0,1,0
1997,SS,165.0,98.0,138,11.4,0,0,1
1995,RT,363.0,1015.0,242,30.1,0,1,0
1993,CH,271.0,475.0,232,24.75,1,0,0
2002,RT,371.0,1015.0,204,28.4,0,1,0
2000,CH,266.0,535.0,223,25.4,1,0,0
1998,SS,170.0,101.0,135,11.0,0,0,1
1997,SS,170.0,177.0,155,14.4,0,0,1
2000,RT,377.0,920.0,219,29.3,0,1,0
2003,RT,370.0,1000.0,201,31.4,0,1,0
2002,RT,400.0,1175.0,234,32.6,0,1,0
1994,RT,399.0,980.0,230,29.9,0,1,0
2001,RT,389.0,1165.0,223,33.1,0,1,0
2000,SS,169.0,100.0,133,11.7,0,0,1
2000,RT,363.0,915.0,209,28.3,0,1,0
2002,SS,193.0,180.0,156,14.3,0,0,1
2001,RT,373.0,1015.0,215,29.6,0,1,0
2001,RT,380.0,1105.0,208,30.8,0,1,0
1999,RT,404.0,1145.0,214,31.8,0,1,0
1999,RT,399.0,1150.0,232,29.55,0,1,0
1999,RT,395.0,1215.0,217,31.3,0,1,0
2000,RT,370.0,955.0,218,30.5,0,1,0
1998,RT,392.0,969.0,207,29.0,0,1,0
1994,RT,374.0,1010.0,197,30.1,0,1,0
2001,SS,194.0,145.0,156,14.6,0,0,1
1993,RT,435.0,1385.0,235,30.6,0,1,0
1997,RT,375.0,1159.0,242,32.7,0,1,0
2000,RT,364.0,1090.0,218,30.3,0,1,0
2002,SS,197.0,165.0,159,14.9,0,0,1
1994,RT,381.0,1030.0,210,29.9,0,1,0
2003,RT,391.0,1035.0,221,33.1,0,1,0
1997,SS,201.0,185.0,162,14.5,0,0,1
1998,SS,196.0,185.0,146,14.0,0,0,1
1997,CH,377.0,1119.0,226,23.9,1,0,0
1997,RT,379.0,1040.0,227,29.4,0,1,0
1997,SS,170.0,113.0,139,11.1,0,0,1
1994,RT,402.0,1110.0,238,30.0,0,1,0
2003,SS,197.0,175.0,150,14.9,0,0,1
2003,SS,156.0,85.0,129,11.0,0,0,1
2001,SS,199.0,175.0,142,15.0,0,0,1
1995,SS,178.0,90.0,145,12.1,0,0,1
2003,RT,366.0,945.0,199,27.2,0,1,0
1993,RT,369.0,880.0,210,26.5,0,1,0
2003,CH,220.0,335.0,185,20.0,1,0,0
1995,CH,259.0,470.0,221,23.4,1,0,0
1994,RT,415.0,1360.0,233,33.5,0,1,0
1995,RT,412.0,1160.0,255,33.0,0,1,0
1995,RT,411.0,1240.0,276,32.7,0,1,0
2003,RT,396.0,1240.0,237,32.8,0,1,0
1999,RT,357.0,940.0,205,28.35,0,1,0
2002,RT,377.0,1040.0,225,30.9,0,1,0
1997,RT,363.0,973.0,213,27.3,0,1,0
1997,CH,199.0,187.0,157,24.2,1,0,0
2001,SS,200.0,180.0,163,13.5,0,0,1
2000,CH,261.0,505.0,203,25.1,1,0,0
2002,SS,193.0,200.0,155,13.5,0,0,1
1992,RT,412.0,1090.0,230,32.2,0,1,0
1996,RT,354.0,980.0,220,29.3,0,1,0
1992,RT,375.0,855.0,243,30.0,0,1,0
2001,RT,376.0,910.0,220,32.2,0,1,0
1994,RT,365.0,1035.0,232,30.8,0,1,0
1995,RT,412.0,1310.0,251,31.1,0,1,0
1999,RT,399.0,1560.0,228,33.85,0,1,0
1992,RT,381.0,950.0,202,28.9,0,1,0
1997,RT,392.0,1142.0,235,33.0,0,1,0
2000,RT,378.0,1090.0,201,30.7,0,1,0
1994,SS,208.0,146.0,160,14.9,0,0,1
1997,SS,259.0,439.0,218,15.2,0,0,1
2000,RT,331.0,1055.0,210,30.4,0,1,0
1993,RT,408.0,1320.0,221,33.4,0,1,0
2001,CH,254.0,515.0,218,23.8,1,0,0
2003,RT,370.0,1145.0,212,30.2,0,1,0
2000,RT,390.0,1050.0,218,29.9,0,1,0
2003,RT,370.0,1020.0,211,30.0,0,1,0
1992,RT,378.0,1490.0,204,31.3,0,1,0
1999,SS,194.0,165.0,151,14.1,0,0,1
1994,SS,209.0,169.0,164,14.5,0,0,1
2002,CH,223.0,390.0,181,20.6,1,0,0
2002,RT,385.0,1400.0,211,33.3,0,1,0
1994,RT,390.0,1250.0,223,30.5,0,1,0
1992,RT,371.0,1010.0,217,29.7,0,1,0
1994,RT,410.0,1210.0,227,308.0,0,1,0
2000,RT,376.0,940.0,217,31.7,0,1,0
2001,RT,419.0,1030.0,224,31.5,0,1,0
1997,RT,400.0,1289.0,242,32.1,0,1,0
2003,SS,194.0,170.0,153,14.0,0,0,1
1994,SS,170.0,89.0,136,11.0,0,0,1
2003,RT,347.0,990.0,203,29.8,0,1,0
1994,SS,213.0,190.0,160,15.5,0,0,1
1994,SS,177.0,97.0,137,11.3,0,0,1
1999,SS,196.0,160.0,137,14.7,0,0,1
2001,SS,192.0,170.0,156,9.5,0,0,1
1993,RT,37.2,1180.0,210,26.65,0,1,0
1997,SS,172.0,98.0,148,10.9,0,0,1
1999,RT,404.0,280.0,224,31.55,0,1,0
1998,RT,391.0,1097.0,217,32.8,0,1,0
1999,SS,193.0,165.0,146,14.6,0,0,1
2000,RT,405.0,1140.0,244,31.9,0,1,0
2003,RT,392.0,1030.0,196,28.1,0,1,0
1995,RT,376.0,925.0,233,30.8,0,1,0
1993,RT,422.0,1120.0,233,28.3,0,1,0
1997,RT,349.0,987.0,225,31.1,0,1,0
2003,SS,191.0,170.0,163,15.1,0,0,1
1994,RT,388.0,985.0,220,29.8,0,1,0
2000,SS,191.0,175.0,149,15.3,0,0,1
1997,RT,351.0,949.0,213,29.7,0,1,0
1997,RT,374.0,1213.0,244,28.0,0,1,0
1993,RT,412.0,1300.0,233,31.55,0,1,0
1995,RT,425.0,1220.0,241,33.0,0,1,0
1994,SS,177.0,91.0,133,11.3,0,0,1
1997,CH,336.0,742.0,221,18.8,1,0,0
2000,CH,272.0,565.0,219,24.0,1,0,0
2003,RT,393.0,1265.0,233,32.7,0,1,0
1997,RT,360.0,994.0,210,30.4,0,1,0
1999,RT,375.0,960.0,214,29.3,0,1,0
2001,RT,407.0,1235.0,243,35.8,0,1,0
2000,RT,385.0,1195.0,216,30.9,0,1,0
2000,SS,170.0,100.0,132,12.2,0,0,1
1999,RT,368.0,1015.0,219,30.3,0,1,0
2003,RT,373.0,960.0,222,32.5,0,1,0
1999,SS,168.0,105.0,143,11.0,0,0,1
2000,RT,408.0,1225.0,225,32.7,0,1,0
1993,RT,400.0,980.0,214,29.3,0,1,0
1994,RT,381.0,1100.0,225,28.2,0,1,0
2000,SS,207.0,185.0,163,14.3,0,0,1
2000,RT,374.0,895.0,219,30.8,0,1,0
1999,SS,175.0,107.0,137,11.4,0,0,1
1995,RT,380.0,1150.0,220,31.1,0,1,0
2000,RT,380.0,1000.0,204,29.0,0,1,0
2002,SS,160.0,90.0,132,11.5,0,0,1
2003,RT,375.0,850.0,218,28.0,0,1,0
2001,RT,408.0,1390.0,245,32.7,0,1,0
1998,RT,410.0,1054.0,233,31.5,0,1,0
1995,RT,398.0,1240.0,243,30.8,0,1,0
2002,SS,166.0,115.0,136,11.6,0,0,1
2002,RT,412.0,1215.0,230,34.1,0,1,0
1994,SS,201.0,206.0,151,13.5,0,0,1
1994,RT,418.0,1180.0,235,341.4,0,1,0
